id,signature_id,att_order,att_name,att_default_value,att_purpose
1,8,0,estimator,UNDEF,param
2,8,1,safe,True,param
3,9,0,estimator,UNDEF,param
4,10,0,estimator,UNDEF,param
5,11,0,**new_config,UNDEF,param
6,13,0,assume_finite,None,param
7,13,1,working_memory,None,param
8,13,2,print_changed_only,None,param
9,14,0,assume_finite,None,param
10,14,1,working_memory,None,param
11,14,2,print_changed_only,None,param
12,16,0,base_estimator,None,param
13,16,1,method,’sigmoid’,param
14,16,2,cv,’warn’,param
15,17,0,y_true,UNDEF,param
16,17,1,y_prob,UNDEF,param
17,17,2,normalize,False,param
18,17,3,n_bins,5,param
19,17,4,strategy,’uniform’,param
20,18,0,damping,0.5,param
21,18,1,max_iter,200,param
22,18,2,convergence_iter,15,param
23,18,3,copy,True,param
24,18,4,preference,None,param
25,18,5,affinity,’euclidean’,param
26,18,6,verbose,False,param
27,19,0,n_clusters,2,param
28,19,1,affinity,’euclidean’,param
29,19,2,memory,None,param
30,19,3,connectivity,None,param
31,19,4,compute_full_tree,’auto’,param
32,19,5,linkage,’ward’,param
33,19,6,pooling_func,’deprecated’,param
34,19,7,distance_threshold,None,param
35,20,0,threshold,0.5,param
36,20,1,branching_factor,50,param
37,20,2,n_clusters,3,param
38,20,3,compute_labels,True,param
39,20,4,copy,True,param
40,21,0,eps,0.5,param
41,21,1,min_samples,5,param
42,21,2,metric,’euclidean’,param
43,21,3,metric_params,None,param
44,21,4,algorithm,’auto’,param
45,21,5,leaf_size,30,param
46,21,6,p,None,param
47,21,7,n_jobs,None,param
48,22,0,min_samples,5,param
49,22,1,max_eps,inf,param
50,22,2,metric,’minkowski’,param
51,22,3,p,2,param
52,22,4,metric_params,None,param
53,22,5,cluster_method,’xi’,param
54,22,6,eps,None,param
55,22,7,xi,0.05,param
56,22,8,predecessor_correction,True,param
57,22,9,min_cluster_size,None,param
58,22,10,algorithm,’auto’,param
59,22,11,leaf_size,30,param
60,22,12,n_jobs,None,param
61,23,0,n_clusters,2,param
62,23,1,affinity,’euclidean’,param
63,23,2,memory,None,param
64,23,3,connectivity,None,param
65,23,4,compute_full_tree,’auto’,param
66,23,5,linkage,’ward’,param
67,23,6,pooling_func,<function mean>,param
68,23,7,distance_threshold,None,param
69,24,0,n_clusters,8,param
70,24,1,init,’k-means++’,param
71,24,2,n_init,10,param
72,24,3,max_iter,300,param
73,24,4,tol,0.0001,param
74,24,5,precompute_distances,’auto’,param
75,24,6,verbose,0,param
76,24,7,random_state,None,param
77,24,8,copy_x,True,param
78,24,9,n_jobs,None,param
79,24,10,algorithm,’auto’,param
80,25,0,n_clusters,8,param
81,25,1,init,’k-means++’,param
82,25,2,max_iter,100,param
83,25,3,batch_size,100,param
84,25,4,verbose,0,param
85,25,5,compute_labels,True,param
86,25,6,random_state,None,param
87,25,7,tol,0,param
88,25,8,max_no_improvement,10,param
89,25,9,init_size,None,param
90,25,10,n_init,3,param
91,25,11,reassignment_ratio,0.01,param
92,26,0,bandwidth,None,param
93,26,1,seeds,None,param
94,26,2,bin_seeding,False,param
95,26,3,min_bin_freq,1,param
96,26,4,cluster_all,True,param
97,26,5,n_jobs,None,param
98,27,0,n_clusters,8,param
99,27,1,eigen_solver,None,param
100,27,2,random_state,None,param
101,27,3,n_init,10,param
102,27,4,gamma,1,param
103,27,5,affinity,’rbf’,param
104,27,6,n_neighbors,10,param
105,27,7,eigen_tol,0,param
106,27,8,assign_labels,’kmeans’,param
107,27,9,degree,3,param
108,27,10,coef0,1,param
109,27,11,kernel_params,None,param
110,27,12,n_jobs,None,param
111,28,0,S,UNDEF,param
112,28,1,preference,None,param
113,28,2,convergence_iter,15,param
114,28,3,max_iter,200,param
115,28,4,damping,0.5,param
116,28,5,copy,True,param
117,28,6,verbose,False,param
118,28,7,return_n_iter,False,param
119,29,0,reachability,UNDEF,param
120,29,1,core_distances,UNDEF,param
121,29,2,ordering,UNDEF,param
122,29,3,eps,UNDEF,param
123,30,0,reachability,UNDEF,param
124,30,1,predecessor,UNDEF,param
125,30,2,ordering,UNDEF,param
126,30,3,min_samples,UNDEF,param
127,30,4,min_cluster_size,None,param
128,30,5,xi,0.05,param
129,30,6,predecessor_correction,True,param
130,31,0,X,UNDEF,param
131,31,1,min_samples,UNDEF,param
132,31,2,max_eps,UNDEF,param
133,31,3,metric,UNDEF,param
134,31,4,p,UNDEF,param
135,31,5,metric_params,UNDEF,param
136,31,6,algorithm,UNDEF,param
137,31,7,leaf_size,UNDEF,param
138,31,8,n_jobs,UNDEF,param
139,32,0,X,UNDEF,param
140,32,1,eps,0.5,param
141,32,2,min_samples,5,param
142,32,3,metric,’minkowski’,param
143,32,4,metric_params,None,param
144,32,5,algorithm,’auto’,param
145,32,6,leaf_size,30,param
146,32,7,p,2,param
147,32,8,sample_weight,None,param
148,32,9,n_jobs,None,param
149,33,0,X,UNDEF,param
150,33,1,quantile,0.3,param
151,33,2,n_samples,None,param
152,33,3,random_state,0,param
153,33,4,n_jobs,None,param
154,34,0,X,UNDEF,param
155,34,1,n_clusters,UNDEF,param
156,34,2,sample_weight,None,param
157,34,3,init,’k-means++’,param
158,34,4,precompute_distances,’auto’,param
159,34,5,n_init,10,param
160,34,6,max_iter,300,param
161,34,7,verbose,False,param
162,34,8,tol,0.0001,param
163,34,9,random_state,None,param
164,34,10,copy_x,True,param
165,34,11,n_jobs,None,param
166,34,12,algorithm,’auto’,param
167,34,13,return_n_iter,False,param
168,35,0,X,UNDEF,param
169,35,1,bandwidth,None,param
170,35,2,seeds,None,param
171,35,3,bin_seeding,False,param
172,35,4,min_bin_freq,1,param
173,35,5,cluster_all,True,param
174,35,6,max_iter,300,param
175,35,7,n_jobs,None,param
176,36,0,affinity,UNDEF,param
177,36,1,n_clusters,8,param
178,36,2,n_components,None,param
179,36,3,eigen_solver,None,param
180,36,4,random_state,None,param
181,36,5,n_init,10,param
182,36,6,eigen_tol,0,param
183,36,7,assign_labels,’kmeans’,param
184,37,0,X,UNDEF,param
185,37,1,connectivity,None,param
186,37,2,n_clusters,None,param
187,37,3,return_distance,False,param
188,38,0,n_clusters,3,param
189,38,1,method,’bistochastic’,param
190,38,2,n_components,6,param
191,38,3,n_best,3,param
192,38,4,svd_method,’randomized’,param
193,38,5,n_svd_vecs,None,param
194,38,6,mini_batch,False,param
195,38,7,init,’k-means++’,param
196,38,8,n_init,10,param
197,38,9,n_jobs,None,param
198,38,10,random_state,None,param
199,39,0,n_clusters,3,param
200,39,1,svd_method,’randomized’,param
201,39,2,n_svd_vecs,None,param
202,39,3,mini_batch,False,param
203,39,4,init,’k-means++’,param
204,39,5,n_init,10,param
205,39,6,n_jobs,None,param
206,39,7,random_state,None,param
207,40,0,transformers,UNDEF,col_arct
208,40,1,remainder,’drop’,param
209,40,2,sparse_threshold,0.3,param
210,40,3,n_jobs,None,param
