id,signature_id,att_order,att_name,att_default_value,att_purpose
1,1,0,class,UNDEF,param
2,2,0,class,UNDEF,param
3,3,0,class,UNDEF,param
4,4,0,class,UNDEF,param
5,5,0,class,UNDEF,param
6,6,0,class,UNDEF,param
7,7,0,class,UNDEF,param
8,8,0,estimator,UNDEF,param
9,8,1,safe,True,param
10,9,0,estimator,UNDEF,param
11,10,0,estimator,UNDEF,param
12,11,0,**new_config,UNDEF,param
13,13,0,assume_finite,None,param
14,13,1,working_memory,None,param
15,13,2,print_changed_only,None,param
16,14,0,assume_finite,None,param
17,14,1,working_memory,None,param
18,14,2,print_changed_only,None,param
19,16,0,class,UNDEF,param
20,16,1,base_estimator,None,param
21,16,2,method,’sigmoid’,param
22,16,3,cv,’warn’,param
23,17,0,y_true,UNDEF,param
24,17,1,y_prob,UNDEF,param
25,17,2,normalize,False,param
26,17,3,n_bins,5,param
27,17,4,strategy,’uniform’,param
28,18,0,class,UNDEF,param
29,18,1,damping,0.5,param
30,18,2,max_iter,200,param
31,18,3,convergence_iter,15,param
32,18,4,copy,True,param
33,18,5,preference,None,param
34,18,6,affinity,’euclidean’,param
35,18,7,verbose,False,param
36,19,0,class,UNDEF,param
37,19,1,n_clusters,2,param
38,19,2,affinity,’euclidean’,param
39,19,3,memory,None,param
40,19,4,connectivity,None,param
41,19,5,compute_full_tree,’auto’,param
42,19,6,linkage,’ward’,param
43,19,7,pooling_func,’deprecated’,param
44,19,8,distance_threshold,None,param
45,20,0,class,UNDEF,param
46,20,1,threshold,0.5,param
47,20,2,branching_factor,50,param
48,20,3,n_clusters,3,param
49,20,4,compute_labels,True,param
50,20,5,copy,True,param
51,21,0,class,UNDEF,param
52,21,1,eps,0.5,param
53,21,2,min_samples,5,param
54,21,3,metric,’euclidean’,param
55,21,4,metric_params,None,param
56,21,5,algorithm,’auto’,param
57,21,6,leaf_size,30,param
58,21,7,p,None,param
59,21,8,n_jobs,None,param
60,22,0,class,UNDEF,param
61,22,1,min_samples,5,param
62,22,2,max_eps,inf,param
63,22,3,metric,’minkowski’,param
64,22,4,p,2,param
65,22,5,metric_params,None,param
66,22,6,cluster_method,’xi’,param
67,22,7,eps,None,param
68,22,8,xi,0.05,param
69,22,9,predecessor_correction,True,param
70,22,10,min_cluster_size,None,param
71,22,11,algorithm,’auto’,param
72,22,12,leaf_size,30,param
73,22,13,n_jobs,None,param
74,23,0,class,UNDEF,param
75,23,1,n_clusters,2,param
76,23,2,affinity,’euclidean’,param
77,23,3,memory,None,param
78,23,4,connectivity,None,param
79,23,5,compute_full_tree,’auto’,param
80,23,6,linkage,’ward’,param
81,23,7,pooling_func,<function mean>,param
82,23,8,distance_threshold,None,param
83,24,0,class,UNDEF,param
84,24,1,n_clusters,8,param
85,24,2,init,’k-means++’,param
86,24,3,n_init,10,param
87,24,4,max_iter,300,param
88,24,5,tol,0.0001,param
89,24,6,precompute_distances,’auto’,param
90,24,7,verbose,0,param
91,24,8,random_state,None,param
92,24,9,copy_x,True,param
93,24,10,n_jobs,None,param
94,24,11,algorithm,’auto’,param
95,25,0,class,UNDEF,param
96,25,1,n_clusters,8,param
97,25,2,init,’k-means++’,param
98,25,3,max_iter,100,param
99,25,4,batch_size,100,param
100,25,5,verbose,0,param
101,25,6,compute_labels,True,param
102,25,7,random_state,None,param
103,25,8,tol,0,param
104,25,9,max_no_improvement,10,param
105,25,10,init_size,None,param
106,25,11,n_init,3,param
107,25,12,reassignment_ratio,0.01,param
108,26,0,class,UNDEF,param
109,26,1,bandwidth,None,param
110,26,2,seeds,None,param
111,26,3,bin_seeding,False,param
112,26,4,min_bin_freq,1,param
113,26,5,cluster_all,True,param
114,26,6,n_jobs,None,param
115,27,0,class,UNDEF,param
116,27,1,n_clusters,8,param
117,27,2,eigen_solver,None,param
118,27,3,random_state,None,param
119,27,4,n_init,10,param
120,27,5,gamma,1,param
121,27,6,affinity,’rbf’,param
122,27,7,n_neighbors,10,param
123,27,8,eigen_tol,0,param
124,27,9,assign_labels,’kmeans’,param
125,27,10,degree,3,param
126,27,11,coef0,1,param
127,27,12,kernel_params,None,param
128,27,13,n_jobs,None,param
129,28,0,S,UNDEF,param
130,28,1,preference,None,param
131,28,2,convergence_iter,15,param
132,28,3,max_iter,200,param
133,28,4,damping,0.5,param
134,28,5,copy,True,param
135,28,6,verbose,False,param
136,28,7,return_n_iter,False,param
137,29,0,reachability,UNDEF,param
138,29,1,core_distances,UNDEF,param
139,29,2,ordering,UNDEF,param
140,29,3,eps,UNDEF,param
141,30,0,reachability,UNDEF,param
142,30,1,predecessor,UNDEF,param
143,30,2,ordering,UNDEF,param
144,30,3,min_samples,UNDEF,param
145,30,4,min_cluster_size,None,param
146,30,5,xi,0.05,param
147,30,6,predecessor_correction,True,param
148,31,0,X,UNDEF,param
149,31,1,min_samples,UNDEF,param
150,31,2,max_eps,UNDEF,param
151,31,3,metric,UNDEF,param
152,31,4,p,UNDEF,param
153,31,5,metric_params,UNDEF,param
154,31,6,algorithm,UNDEF,param
155,31,7,leaf_size,UNDEF,param
156,31,8,n_jobs,UNDEF,param
157,32,0,X,UNDEF,param
158,32,1,eps,0.5,param
159,32,2,min_samples,5,param
160,32,3,metric,’minkowski’,param
161,32,4,metric_params,None,param
162,32,5,algorithm,’auto’,param
163,32,6,leaf_size,30,param
164,32,7,p,2,param
165,32,8,sample_weight,None,param
166,32,9,n_jobs,None,param
167,33,0,X,UNDEF,param
168,33,1,quantile,0.3,param
169,33,2,n_samples,None,param
170,33,3,random_state,0,param
171,33,4,n_jobs,None,param
172,34,0,X,UNDEF,param
173,34,1,n_clusters,UNDEF,param
174,34,2,sample_weight,None,param
175,34,3,init,’k-means++’,param
176,34,4,precompute_distances,’auto’,param
177,34,5,n_init,10,param
178,34,6,max_iter,300,param
179,34,7,verbose,False,param
180,34,8,tol,0.0001,param
181,34,9,random_state,None,param
182,34,10,copy_x,True,param
183,34,11,n_jobs,None,param
184,34,12,algorithm,’auto’,param
185,34,13,return_n_iter,False,param
186,35,0,X,UNDEF,param
187,35,1,bandwidth,None,param
188,35,2,seeds,None,param
189,35,3,bin_seeding,False,param
190,35,4,min_bin_freq,1,param
191,35,5,cluster_all,True,param
192,35,6,max_iter,300,param
193,35,7,n_jobs,None,param
194,36,0,affinity,UNDEF,param
195,36,1,n_clusters,8,param
196,36,2,n_components,None,param
197,36,3,eigen_solver,None,param
198,36,4,random_state,None,param
199,36,5,n_init,10,param
200,36,6,eigen_tol,0,param
201,36,7,assign_labels,’kmeans’,param
202,37,0,X,UNDEF,param
203,37,1,connectivity,None,param
204,37,2,n_clusters,None,param
205,37,3,return_distance,False,param
206,38,0,class,UNDEF,param
207,38,1,n_clusters,3,param
208,38,2,method,’bistochastic’,param
209,38,3,n_components,6,param
210,38,4,n_best,3,param
211,38,5,svd_method,’randomized’,param
212,38,6,n_svd_vecs,None,param
213,38,7,mini_batch,False,param
