title,description,link,parameters
pandas.errors.PyperclipWindowsException,Exception raised when clipboard functionality is unsupported by Windows.,https://pandas.pydata.org/docs/reference/api/pandas.errors.PyperclipWindowsException.html,message
pandas.errors.PyperclipException,Exception raised when clipboard functionality is unsupported.,https://pandas.pydata.org/docs/reference/api/pandas.errors.PyperclipException.html,
pandas.test,Run the pandas test suite using pytest.,https://pandas.pydata.org/docs/reference/api/pandas.test.html,extra_args=None
pandas.api.indexers.check_array_indexer,Check if indexer is a valid array indexer for array.,https://pandas.pydata.org/docs/reference/api/pandas.api.indexers.check_array_indexer.html,"array,indexer"
pandas.option_context,,https://pandas.pydata.org/docs/reference/api/pandas.option_context.html,*args
pandas.plotting.table,Helper function to convert DataFrame and Series to matplotlib.table.,https://pandas.pydata.org/docs/reference/api/pandas.plotting.table.html,"ax,data,rowLabels=None,colLabels=None,**kwargs"
pandas.io.formats.style.Styler.use,Set the styles on the current Styler.,https://pandas.pydata.org/docs/reference/api/pandas.io.formats.style.Styler.use.html,styles
pandas.core.resample.Resampler.quantile,Return value at the given quantile.,https://pandas.pydata.org/docs/reference/api/pandas.core.resample.Resampler.quantile.html,"q=0.5,**kwargs"
pandas.core.groupby.DataFrameGroupBy.boxplot,Make box plots from DataFrameGroupBy data.,https://pandas.pydata.org/docs/reference/api/pandas.core.groupby.DataFrameGroupBy.boxplot.html,"subplots=True,column=None,fontsize=None,rot=0,grid=True,ax=None,figsize=None,layout=None,sharex=False,sharey=True,backend=None,**kwargs"
pandas.api.indexers.VariableOffsetWindowIndexer,,https://pandas.pydata.org/docs/reference/api/pandas.api.indexers.VariableOffsetWindowIndexer.html,"index_array=None,window_size=0,index=None,offset=None,**kwargs"
pandas.tseries.frequencies.to_offset,Return DateOffset object from string or datetime.timedelta object.,https://pandas.pydata.org/docs/reference/api/pandas.tseries.frequencies.to_offset.html,
pandas.PeriodIndex.to_timestamp,Cast to DatetimeArray/Index.,https://pandas.pydata.org/docs/reference/api/pandas.PeriodIndex.to_timestamp.html,"freq=None,how='start'"
pandas.api.types.is_scalar,Return True if given object is scalar.,https://pandas.pydata.org/docs/reference/api/pandas.api.types.is_scalar.html,
pandas.DataFrame.__dataframe__,Return the dataframe interchange object implementing the interchange protocol.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.__dataframe__.html,"nan_as_null=False,allow_copy=True"
pandas.Series.to_markdown,Print Series in Markdown-friendly format.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_markdown.html,"buf=None,mode='wt',index=True,storage_options=None,**kwargs"
pandas.api.interchange.from_dataframe,Build a pd.DataFrame from any DataFrame supporting the interchange protocol.,https://pandas.pydata.org/docs/reference/api/pandas.api.interchange.from_dataframe.html,"df,allow_copy=True"
pandas.io.stata.StataWriter.write_file,Export DataFrame object to Stata dta format.,https://pandas.pydata.org/docs/reference/api/pandas.io.stata.StataWriter.write_file.html,
pandas.io.stata.StataReader.variable_labels,Return a dict associating each variable name with corresponding label.,https://pandas.pydata.org/docs/reference/api/pandas.io.stata.StataReader.variable_labels.html,
pandas.io.stata.StataReader.value_labels,Return a nested dict associating each variable name to its value and label.,https://pandas.pydata.org/docs/reference/api/pandas.io.stata.StataReader.value_labels.html,
pandas.io.stata.StataReader.data_label,,https://pandas.pydata.org/docs/reference/api/pandas.io.stata.StataReader.data_label.html,
pandas.read_stata,Read Stata file into DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_stata.html,"filepath_or_buffer,*,convert_dates=True,convert_categoricals=True,index_col=None,convert_missing=False,preserve_dtypes=True,columns=None,order_categoricals=True,chunksize=None,iterator=False,compression='infer',storage_options=None"
pandas.read_gbq,Load data from Google BigQuery.,https://pandas.pydata.org/docs/reference/api/pandas.read_gbq.html,"query,project_id=None,index_col=None,col_order=None,reauth=False,auth_local_webserver=True,dialect=None,location=None,configuration=None,credentials=None,use_bqstorage_api=None,max_results=None,progress_bar_type=None"
pandas.read_sql,Read SQL query or database table into a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_sql.html,"sql,con,index_col=None,coerce_float=True,params=None,parse_dates=None,columns=None,chunksize=None"
pandas.read_sql_query,Read SQL query into a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_sql_query.html,"sql,con,index_col=None,coerce_float=True,params=None,parse_dates=None,chunksize=None,dtype=None"
pandas.read_sql_table,Read SQL database table into a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_sql_table.html,"table_name,con,schema=None,index_col=None,coerce_float=True,parse_dates=None,columns=None,chunksize=None"
pandas.read_spss,"Load an SPSS file from the file path, returning a DataFrame.",https://pandas.pydata.org/docs/reference/api/pandas.read_spss.html,"path,usecols=None,convert_categoricals=True"
pandas.read_sas,Read SAS files stored as either XPORT or SAS7BDAT format files.,https://pandas.pydata.org/docs/reference/api/pandas.read_sas.html,"filepath_or_buffer,*,format=None,index=None,encoding=None,chunksize=None,iterator=False,compression='infer'"
