title,description,link,parameters
sklearn.base.BaseEstimator,Base class for all estimators in scikit-learn.,https://scikit-learn.org/stable/modules/generated/sklearn.base.BaseEstimator.html,
sklearn.compose.make_column_transformer,Construct a ColumnTransformer from the given transformers.,https://scikit-learn.org/stable/modules/generated/sklearn.compose.make_column_transformer.html,"*transformers,remainder='drop',sparse_threshold=0.3,n_jobs=None,verbose=False,verbose_feature_names_out=True"
sklearn.compose.TransformedTargetRegressor,Meta-estimator to regress on a transformed target.,https://scikit-learn.org/stable/modules/generated/sklearn.compose.TransformedTargetRegressor.html,"regressor=None,*,transformer=None,func=None,inverse_func=None,check_inverse=True"
sklearn.compose.ColumnTransformer,Applies transformers to columns of an array or pandas DataFrame.,https://scikit-learn.org/stable/modules/generated/sklearn.compose.ColumnTransformer.html,"transformers,*,remainder='drop',sparse_threshold=0.3,n_jobs=None,transformer_weights=None,verbose=False,verbose_feature_names_out=True"
sklearn.cluster.ward_tree,Ward clustering based on a Feature matrix.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.ward_tree.html,"X,*,connectivity=None,n_clusters=None,return_distance=False"
sklearn.cluster.spectral_clustering,Apply clustering to a projection of the normalized Laplacian.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.spectral_clustering.html,"affinity,*,n_clusters=8,n_components=None,eigen_solver=None,random_state=None,n_init=10,eigen_tol='auto',assign_labels='kmeans',verbose=False"
sklearn.cluster.mean_shift,Perform mean shift clustering of data using a flat kernel.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.mean_shift.html,"X,*,bandwidth=None,seeds=None,bin_seeding=False,min_bin_freq=1,cluster_all=True,max_iter=300,n_jobs=None"
sklearn.cluster.kmeans_plusplus,Init n_clusters seeds according to k-means++.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.kmeans_plusplus.html,"X,n_clusters,*,x_squared_norms=None,random_state=None,n_local_trials=None"
sklearn.cluster.k_means,Perform K-means clustering algorithm.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.k_means.html,"X,n_clusters,*,sample_weight=None,init='k-means++',n_init='warn',max_iter=300,verbose=False,tol=0.0001,random_state=None,copy_x=True,algorithm='lloyd',return_n_iter=False"
sklearn.cluster.estimate_bandwidth,Estimate the bandwidth to use with the mean-shift algorithm.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.estimate_bandwidth.html,"X,*,quantile=0.3,n_samples=None,random_state=0,n_jobs=None"
sklearn.cluster.compute_optics_graph,Compute the OPTICS reachability graph.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.compute_optics_graph.html,"X,*,min_samples,max_eps,metric,p,metric_params,algorithm,leaf_size,n_jobs"
sklearn.cluster.cluster_optics_xi,Automatically extract clusters according to the Xi-steep method.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.cluster_optics_xi.html,"*,reachability,predecessor,ordering,min_samples,min_cluster_size=None,xi=0.05,predecessor_correction=True"
